Status,Company,Role,Location,Source,Attendance,Application,Type,Phone call,1st interview,2nd interview,3rd interview,Proposition,Final answer,URL
Rejected,Atos,Data Engineer,Germany,Carrer Site,,02/09/2023,Offer,,,,,,04/09/2023,https://jobs.atos.net/job/Junior-Data-Engineer-(mwd)/946075601/
Applied,Capgemini,Data Engineer,Lille,LinkedIn,Hybrid,02/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3708591150
Applied,Capgemini,Data Engineer,Grenoble,LinkedIn,Hybrid,02/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3701490241
Applied,Probayes,Data Scientist,Paris,Apec,,02/09/2023,Offer,,,,,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/171844964W?xtor=AL-406
Rejected,Aphelio,Data Scientist,Grenoble,Pole emploi,,02/09/2023,Offer,,,,,,07/09/2023,https://candidat.pole-emploi.fr/offres/recherche/detail/160PPYJ
Applied,OXO-team,Data Scientist,Clermont-Ferrand,Apec,,02/09/2023,Offer,,,,,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/171511124W?xtor=AL-406
Applied,Probayes,Data Scientist,Montbonnot-Saint-Martin,Apec,,02/09/2023,Offer,,,,,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/171844959W?xtor=AL-406
Applied,INPI,Data Scientist,Courbevoie,Carrer Site,Hybrid,02/09/2023,Offer,,,,,,,https://inpi.mycv.tech/index.php?id_offre=ffe6faeffb1&id_media=APEC&module=offre&action=detail_offre
Applied,Micheal Page,Data Engineer,Nantes,HelloWork,,02/09/2023,Offer,,,,,,,https://www.hellowork.com/fr-fr/emplois/39544912.html?utm_campaign=pole_emploi&utm_medium=metamoteurs-free&utm_source=pole_emploi&utm_content=fluxpoleemploi&utm_term=39544912#postuler
Applied,RD2 Conseil,Data Scientist,Paris,Apec,,02/09/2023,Offer,,,,,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/171784899W?xtor=AL-406
Rejected,RCA,Data Engineer,Saint-Herblain,Carrer Site,,02/09/2023,Offer,,,,,,07/09/2023,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/171855586W?xtor=AL-406
Applied,Gnomon Digital,Data Engineer,Puteaux,Apec,,02/09/2023,Offer,,,,,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/171648810W?xtor=AL-406
Applied,SOLENT,AI,La Garenne-Colombes,Apec,Hybrid,02/09/2023,Offer,,,,,,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/171521077W
Rejected,Sopra Steria,Data Engineer,Paris,Carrer Site,,02/09/2023,Offer,,,,,,04/09/2023,https://jobs.smartrecruiters.com/SopraSteria1/743999922457073-data-engineer-transport-ile-de-france?trid=e15b6b47-d6c6-4c5d-a466-c06a6dbc094e
Rejected,Sopra Steria,Data Engineer,Metz,Carrer Site,Hybrid,02/09/2023,Offer,,,,,,18/09/2023,https://jobs.smartrecruiters.com/SopraSteria1/743999927793712-data-engineer-nne-est-metz?trid=e15b6b47-d6c6-4c5d-a466-c06a6dbc094e
Applied,Numberly,Data Scientist,Paris,Carrer Site,Hybrid,02/09/2023,Offer,,,,,,,https://jobs.smartrecruiters.com/numberly/743999914173433
Applied,Numberly,Data Scientist,Paris,Carrer Site,Hybrid,02/09/2023,Offer,,,,,,,https://jobs.smartrecruiters.com/numberly/743999901246488
Applied,Numberly,Data Engineer,,Carrer Site,Remote,02/09/2023,Offer,,,,,,,https://jobs.smartrecruiters.com/numberly/743999911611183
Applied,Numberly,DevOps Engineer,Paris,Carrer Site,Hybrid,02/09/2023,Offer,,,,,,,https://jobs.smartrecruiters.com/numberly/743999877155891
Applied,MindPal,Data Scientist,Lyon,Carrer Site,On-site,04/09/2023,Offer,,,,,,,https://app.mindpal.co/offers/1291917/
Applied,Finegrain,AI,Paris,LinkedIn,Hybrid,04/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3689792126
Rejected,ABBYY,DevOps Engineer,Serbia,Carrer Site,Remote,04/09/2023,Offer,,,,,,04/09/2023,https://boards.eu.greenhouse.io/abbyy/jobs/4202660101
Applied,Elanco,Data Scientist,USA,Carrer Site,Remote,04/09/2023,Offer,,,,,,,https://elanco.wd5.myworkdayjobs.com/en-US/External_Career/job/Data-Scientist-Academic-Worker_R0016721
Applied,Valeo,AI,Prague,Carrer Site,Hybrid,04/09/2023,Offer,,,,,,,https://valeo.wd3.myworkdayjobs.com/fr-FR/valeo_jobs/details/Data-Analyst--Machine-Learning-Engineer_REQ2023007499
Rejected,Valeo,Data Scientist,Neuses,Carrer Site,,04/09/2023,Offer,,,,,,27/09/2023,https://valeo.wd3.myworkdayjobs.com/fr-FR/valeo_jobs/details/Data-Scientist--m-w-d-_REQ2023015052
Applied,Valeo,Data Engineer,Cairo,Carrer Site,,04/09/2023,Offer,,,,,,,https://valeo.wd3.myworkdayjobs.com/fr-FR/valeo_jobs/details/CV-Data-Engineer---CDA_REQ2023004084
Rejected,Valeo,AI,Lübeck,Carrer Site,,04/09/2023,Offer,,,,,,09/09/2023,https://valeo.wd3.myworkdayjobs.com/fr-FR/valeo_jobs/job/Machine-Learning-Engineer--m-f-d-_REQ2023022099-1
Applied,Valeo,AI,Tuam,Carrer Site,,04/09/2023,Offer,,,,,,,https://valeo.wd3.myworkdayjobs.com/fr-FR/valeo_jobs/details/R-D-Deep-Learning-Engineer_REQ2023000888
Applied,CGI,Data Scientist,Toulouse,Carrer Site,Hybrid,04/09/2023,Offer,,,,,,,https://cgi.njoyn.com/corp/xweb/XWeb.asp?NTKN=c&page=jobdetails&JobID=J0823-0721
Applied,CGI,Data Scientist,Bielefeld,Carrer Site,Hybrid,04/09/2023,Offer,,,,,,,https://cgi.njoyn.com/corp/xweb/XWeb.asp?NTKN=c&clid=21001&Page=JobDetails&Jobid=J0823-0739&BRID=1073707&lang=2
Applied,CGI,Data Engineer,Muntinlupa,Carrer Site,Hybrid,04/09/2023,Offer,,,,,,,https://cgi.njoyn.com/corp/xweb/XWeb.asp?NTKN=c&clid=21001&Page=JobDetails&Jobid=J0223-0706&BRID=1036435&lang=2
Applied,CGI,Data Scientist,Arnhem,Carrer Site,,04/09/2023,Offer,,,,,,,https://cgi.njoyn.com/corp/xweb/XWeb.asp?NTKN=c&clid=21001&Page=JobDetails&Jobid=J0223-2140&BRID=1041295&lang=2
Applied,CGI,Data Scientist,Randstad,Carrer Site,,04/09/2023,Offer,,,,,,,https://cgi.njoyn.com/corp/xweb/XWeb.asp?NTKN=c&clid=21001&Page=JobDetails&Jobid=J1122-2502&BRID=1015269&lang=2
Applied,SII,Data Scientist,,Carrer Site,,04/09/2023,Spontaneous,,,,,,,
Applied,Inetum,Data Engineer,Bucharest,Carrer Site,Remote,04/09/2023,Offer,,,,,,,https://www.inetum.com/en/job/data-engineer-mf
Rejected,Inetum,Data Engineer,Orléans,Carrer Site,Hybrid,04/09/2023,Offer,,,,,,05/09/2023,https://www.inetum.com/fr/emploi/data-engineer-hf-2
Rejected,Inetum,Data Scientist,Lille,Carrer Site,Hybrid,04/09/2023,Offer,,,,,,12/09/2023,https://www.inetum.com/fr/emploi/data-scientist-hf
Applied,Differs,Data Scientist,Paris,LinkedIn,Hybrid,04/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3708562136
Rejected,Ryte.ai,Data Scientist,Paris,LinkedIn,On-site,04/09/2023,Offer,,,,,,08/09/2023,https://www.linkedin.com/jobs/view/3703790248
Applied,Erba,Data Scientist,Montpellier,LinkedIn,On-site,04/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3711085564
Applied,VISEO,Data Scientist,Aix-en-Provence,LinkedIn,Hybrid,04/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3684979806
Rejected,TotalEnergies,Data Scientist,Courbevoie,Carrer Site,,04/09/2023,Offer,,,,,,15/09/2023,https://totalenergies.avature.net/en_US/careers/JobDetail/Assistant-Data-Scientist-d-butant-F-H/37352
Rejected,TotalEnergies,AI,Pau,Carrer Site,,04/09/2023,Offer,,,,,,24/09/2023,https://totalenergies.avature.net/en_US/careers/JobDetail/Ing-nieur-d-butant-IA-Eolien-en-mer-F-H/36199
Rejected,TotalEnergies,Data Scientist,Paris,Carrer Site,,04/09/2023,Offer,,,,,,10/10/2023,https://totalenergies.avature.net/en_US/careers/JobDetail/Data-Scientist-ML/33347
Rejected,TotalEnergies,Data Scientist,Geneva,Carrer Site,,04/09/2023,Offer,,,,,,07/10/2023,https://totalenergies.avature.net/en_US/careers/JobDetail/Data-Scientist/38052
Applied,Scalian,Data Scientist,Bordeaux,Carrer Site,,04/09/2023,Offer,,,,,,,https://scalian.csod.com/ux/ats/careersite/1/home/requisition/4103?c=scalian
Applied,Scalian,AI,Paris,Carrer Site,,04/09/2023,Offer,,,,,,,https://scalian.csod.com/ux/ats/careersite/1/home/requisition/2792?c=scalian
Applied,Scalian,Data Engineer,Valbonne,Carrer Site,,04/09/2023,Offer,,,,,,,https://scalian.csod.com/ux/ats/careersite/1/home/requisition/2462?c=scalian
Rejected,Extia,Data Engineer,Lyon,Carrer Site,,04/09/2023,Offer,,,,,,06/09/2023,https://www.extia-group.com/join-us/data-engineer-h-f-3
Applied,Grade Booster,Data Scientist,Paris,LinkedIn,,04/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3709353528
Applied,Axelor,Data Engineer,Champs-sur-Marne,LinkedIn,,04/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3709345826
Applied,SHOOM,Data Scientist,Brest,LinkedIn,,04/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3709345826
Rejected,Extia,Data Scientist,Strasbourg,Carrer Site,,04/09/2023,Offer,,,,,,06/09/2023,https://www.extia-group.com/join-us/data-scientist-h-f-3
Rejected,Extia,Data Engineer,Paris,Carrer Site,,04/09/2023,Offer,,,,,,06/09/2023,https://www.extia-group.com/join-us/job-offer-dataaa
Rejected,Extia,Data Engineer,Bordeaux,Carrer Site,,04/09/2023,Offer,,,,,,06/09/2023,https://www.extia-group.com/join-us/data-engineer-h-f-4
Rejected,Extia,Data Engineer,Paris,Carrer Site,,04/09/2023,Offer,,,,,,06/09/2023,https://www.extia-group.com/join-us/data-engineer-h-f-1
Applied,eXalt,Data Scientist,Paris,Carrer Site,,04/09/2023,Offer,,,,,,,https://exalt.welcomekit.co/companies/exalt/jobs/data-scientist_paris
Applied,Vivid Resourcing,AI,Amsterdam,LinkedIn,,04/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3711207006
In process,Bioseb,AI,Vitrolles,LinkedIn,,04/09/2023,Offer,19/09/2023,,,,,,https://www.linkedin.com/jobs/view/3711095289
Applied,HOPLO,AI,Cagliari,LinkedIn,On-site,04/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3709604281
Applied,harnham,Data Scientist,Paris,Carrer Site,Hybrid,05/09/2023,Offer,,,,,,,https://www.harnham.com/job/e1aeb1da-8723-4ba1-d23d-08d5948a7341-data-scientist-paris-ile-de-france-4/
Applied,harnham,Data Scientist,Leeds,Carrer Site,Hybrid,05/09/2023,Offer,,,,,,,https://www.harnham.com/job/e1aeb1da-8723-4ba1-d23d-08d5948a7341-data-scientist-leeds-west-yorkshire/
Applied,harnham,Data Scientist,London,Carrer Site,Hybrid,05/09/2023,Offer,,,,,,,https://www.harnham.com/job/e1aeb1da-8723-4ba1-d23d-08d5948a7341-junior-data-scientist-contract-to-perm-london/
Applied,harnham,Data Scientist,London,Carrer Site,Hybrid,05/09/2023,Offer,,,,,,,https://www.harnham.com/job/e1aeb1da-8723-4ba1-d23d-08d5948a7341-junior-data-scientist-london/
Applied,harnham,Data Scientist,Birmingham,Carrer Site,Hybrid,05/09/2023,Offer,,,,,,,https://www.harnham.com/job/e1aeb1da-8723-4ba1-d23d-08d5948a7341-data-scientist-birmingham-west-midlands-2/
Applied,harnham,Data Scientist,London,Carrer Site,Remote,05/09/2023,Offer,,,,,,,https://www.harnham.com/job/e1aeb1da-8723-4ba1-d23d-08d5948a7341-data-scientist-city-of-london-london/
Applied,harnham,Data Scientist,Manchester,Carrer Site,Hybrid,05/09/2023,Offer,,,,,,,https://www.harnham.com/job/e1aeb1da-8723-4ba1-d23d-08d5948a7341-data-scientist-manchester-greater-manchester-3/
Applied,harnham,Data Scientist,,Carrer Site,,05/09/2023,Spontaneous,,,,,,,
Applied,DESKi,Data Scientist,Bordeaux,LinkedIn,Hybrid,05/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3141273706
Applied,InovaYa,Data Scientist,Chasse-sur-Rhône,LinkedIn,Hybrid,05/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3703616234
Applied,Ellisphere,Data Engineer,Lyon,LinkedIn,On-site,05/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3703987589
Applied,ALTEN,Data Engineer,Metz,LinkedIn,On-site,05/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3709403350
Applied,LR TECHNOLOGIES GROUPE,AI,Toulouse,LinkedIn,On-site,05/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3701787389
Applied,Agence nationale des titres sécurisés,Data Scientist,Charleville Mézières,Carrer Site,On-site,05/09/2023,Offer,,,,,,,https://antsrecrutement.recruitee.com/o/ingenieur-data-scientist-ou-data-analyst
Applied,Datatorii,Data Scientist,,Carrer Site,,05/09/2023,Spontaneous,,,,,,,
Rejected,Devoteam,Data Engineer,Lille,Carrer Site,Hybrid,05/09/2023,Offer,,,,,,07/09/2023,https://france.devoteam.com/jobs/data-engineer-hf-innovative-tech-93036890510238406/
Rejected,Devoteam,Data Scientist,Levallois-Perret,Carrer Site,,05/09/2023,Offer,,,,,,18/09/2023,https://france.devoteam.com/jobs/data-scientist-136707239923589830/
Applied,Ekinox,Data Scientist,Paris,LinkedIn,Hybrid,05/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3711954219
Applied,Positive Thinking Company,Data Scientist,Paris,LinkedIn,Hybrid,05/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3711954435
Applied,MFG Labs,Data Scientist,Pantin,LinkedIn,Hybrid,05/09/2023,Offer,,,,,,,https://www.linkedin.com/jobs/view/3711976397
Applied,Urban Linker,Data Scientist,,Carrer Site,,05/09/2023,Spontaneous,,,,,,,
Applied,ALTEN,,Toulouse,LinkedIn,,05/09/2023,Spontaneous,,,,,,,https://www.linkedin.com/jobs/view/3711955326
